date,value,type,unit
2013-01-23,1210.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-01-24,1687.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-01-25,1876.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-01-26,1583.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-01-27,1248.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-01-28,1343.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-01-29,1208.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-01-30,1355.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-01-31,1233.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-01,1461.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-02,1405.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-03,1100.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-04,931.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-05,2492.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-06,1996.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-07,1779.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-08,1694.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-09,2092.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-10,2138.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-11,1239.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-12,937.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-13,1150.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-14,1197.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-15,1362.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-16,907.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-17,996.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
2013-02-18,1049.0,HKQuantityTypeIdentifierActiveEnergyBurned,Cal
