date,value,type,unit
2021-11-04,0.723852,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2021-11-11,0.748972,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2021-11-18,0.713764,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2021-11-25,0.733223,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2021-12-02,0.716931,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2021-12-09,0.675447,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2021-12-16,0.698952,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2021-12-23,0.703424,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2021-12-30,0.643252,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-01-06,0.619332,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-01-13,0.621907,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-01-20,0.614309,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-01-27,0.658194,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-02-03,0.68136,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-02-10,0.694846,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-02-17,0.698039,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-02-24,0.724196,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-03-03,0.730467,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-03-10,0.704748,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-03-17,0.710186,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-03-24,0.738585,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-03-31,0.755592,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-04-07,0.741011,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-04-14,0.701527,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-04-21,0.660799,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-04-28,0.732624,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-05-05,0.665923,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-05-12,0.697723,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-05-19,0.714015,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-05-26,0.707319,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-06-02,0.709437,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-06-09,0.749743,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-06-16,0.720328,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-06-23,0.734066,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-06-30,0.716273,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-07-07,0.687349,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-07-14,0.708906,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-07-21,0.654176,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-07-28,0.729708,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-08-04,0.703851,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
2022-08-11,0.703191,HKQuantityTypeIdentifierAppleWalkingSteadiness,%
