date,value,type,unit
2012-03-10,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-11,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-12,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-13,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-14,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-15,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-16,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-17,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-18,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-19,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-20,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-21,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-22,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-23,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-24,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-25,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-26,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-27,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-28,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-29,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-30,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-03-31,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-01,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-02,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-03,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-04,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-05,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-06,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-07,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-08,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-09,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-10,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-11,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-12,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-13,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-14,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-15,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-16,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-17,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-18,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-19,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-20,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-21,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-22,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-23,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-24,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-25,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-26,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-27,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-28,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-29,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-04-30,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-05-01,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-05-02,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-05-03,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-05-04,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-05-05,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-05-06,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-05-07,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-05-08,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-05-09,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-05-10,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
2012-05-11,25.1097,HKQuantityTypeIdentifierBodyMassIndex,count
