date,value,type,unit
2015-02-25,385.3825,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-02-26,251.736,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-02-27,370.785,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-02-28,897.954,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-01,217.449,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-02,213.7778,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-03,599.022,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-04,240.3395,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-05,924.277,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-06,171.736,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-07,307.7855,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-08,176.603,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-09,153.7778,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-10,686.059,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-11,218.54250000000002,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-12,320.26800000000003,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-13,307.622,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-14,206.303,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-15,546.471,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-16,566.9395,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-17,684.082,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-18,654.596,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-19,234.524,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-20,225.6825,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-21,511.946,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-22,556.796,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-23,491.9395,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-24,1332.972,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-25,325.972,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-26,523.0323,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-27,683.7429999999999,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-28,307.53499999999997,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-29,492.923,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-30,192.1355,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-03-31,667.3385,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-01,1020.9312,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-02,1326.238,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-03,619.488,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-04,155.757,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-05,134.95999999999998,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-06,833.98,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-07,285.486,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-08,79.4,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-09,545.4549999999999,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-10,395.3555,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-11,1031.132,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-12,585.846,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-13,738.302,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-14,346.8334,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-15,172.986,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-16,1448.867,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-17,193.743,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-18,158.5045,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-19,95.846,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-20,625.8563,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-21,386.2556,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-22,1105.846,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-23,538.3720000000001,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-24,502.793,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-25,468.9066,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-26,178.9376,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-27,201.8668,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-28,134.72899999999998,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-29,524.3679999999999,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-04-30,702.986,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-01,512.6030000000001,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-02,323.332,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-03,276.72429999999997,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-04,169.82600000000002,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-05,175.672,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-06,183.743,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-07,575.846,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-08,77.3075,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-09,379.6664,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-10,191.796,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-11,652.986,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-12,108.56,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-13,785.2243000000001,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-14,168.532,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-15,143.18200000000002,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-16,95.846,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-17,92.623,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-18,572.986,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-19,1212.9859999999999,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-20,122.2681,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-21,122.686,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-22,229.589,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-23,179.835,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-24,149.546,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-25,832.986,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-26,1192.9859999999999,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-27,72.986,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-28,197.86860000000001,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-29,92.986,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-30,191.946,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-05-31,566.0616,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-01,141.911,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-02,378.8722,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-03,73.7465,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-04,180.7715,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-05,168.532,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-06,545.846,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-07,665.846,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-08,216.34550000000002,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-09,602.686,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-10,602.686,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-11,233.743,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-12,132.386,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-13,605.346,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-14,765.846,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-15,151.13600000000002,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-16,102.686,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-17,572.986,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-18,300.757,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-19,626.0743,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-20,436.01200000000006,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-21,604.846,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-22,522.686,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-23,522.986,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-24,203.743,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-25,127.5556,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-26,670.0,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-27,135.20600000000002,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-28,345.546,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-29,227.5556,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-06-30,1003.443,HKQuantityTypeIdentifierDietaryCalcium,mg
2015-07-01,1033.311,HKQuantityTypeIdentifierDietaryCalcium,mg
