date,value,type,unit
2015-02-25,210.22,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-02-26,431.3654,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-02-27,357.87,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-02-28,96.1954,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-01,110.21839999999999,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-02,361.0,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-03,120.005,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-04,39.0,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-05,361.6654,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-06,271.3654,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-07,65.0,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-08,131.07299999999998,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-09,189.78,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-10,231.3654,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-11,89.073,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-12,480.5854,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-13,314.293,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-14,128.07299999999998,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-15,130.005,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-16,160.5,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-17,506.695,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-18,69.1454,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-19,252.5108,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-20,299.293,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-21,65.0,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-22,39.0,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-23,0.0,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-24,307.62,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-25,420.44,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-26,101.0,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-27,350.39300000000003,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-28,89.073,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-29,48.0,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-30,0.0,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-03-31,486.42,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-04-01,5.0,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-04-02,295.79269999999997,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-04-03,322.153,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-04-04,89.073,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-04-05,50.0,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-04-06,371.52,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-04-07,590.22,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-04-08,142.0,HKQuantityTypeIdentifierDietaryCholesterol,mg
2015-04-09,347.8861,HKQuantityTypeIdentifierDietaryCholesterol,mg
