date,value,type,unit
2013-01-23,2028.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-01-24,1507.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-01-25,1377.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-01-26,612.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-01-27,1211.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-01-28,1379.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-01-29,1323.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-01-31,1162.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-02-01,1588.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-02-02,1680.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-02-03,1684.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-02-04,2173.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-02-05,2270.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-02-06,1648.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-02-07,1564.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-02-08,2218.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-02-11,1854.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-02-12,349.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-02-14,950.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2013-02-15,436.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-02-22,1625.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-02-23,1308.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-02-24,1557.0,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-02-25,2928.774,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-02-26,3464.127,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-02-27,3272.1525,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-02-28,3439.644,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-01,3478.616,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-02,2429.63,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-03,3082.974,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-04,2564.301,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-05,3728.4359999999997,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-06,2614.127,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-07,2904.033,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-08,3335.699,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-09,2821.61,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-10,3778.645,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-11,3231.95,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-12,3189.811,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-13,3886.661,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-14,2809.359,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-15,3659.407,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-16,3840.252,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-17,3286.108,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-18,3601.334,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-19,3260.5280000000002,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-20,3186.41,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-21,3288.242,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-22,3038.474,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-23,2040.251,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-24,3198.242,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-25,3956.242,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-26,3086.098,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-27,3995.401,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-28,3355.687,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-29,2104.391,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-30,3922.109,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-03-31,2250.187,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-01,3349.7870000000003,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-02,3613.795,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-03,3030.808,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-04,3400.917,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-05,1829.56,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-06,2672.12,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-07,2320.492,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-08,3617.66,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-09,2655.728,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-10,3760.783,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-11,3395.6220000000003,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-12,2755.762,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-13,2577.326,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-14,3172.439,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-15,2954.242,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-16,3462.688,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-17,2654.2090000000003,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-18,3187.1259999999997,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-19,3198.782,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-20,3165.773,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-21,2169.06,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-22,3830.041,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
2015-04-23,1982.772,HKQuantityTypeIdentifierDietaryEnergyConsumed,Cal
