date,value,type,unit
2015-02-25,17.08899,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-02-26,7.589482,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-02-27,5.148725,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-02-28,12.168949999999999,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-01,6.826762,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-02,0.4347,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-03,11.24891,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-04,6.33685,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-05,9.889762000000001,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-06,4.089482,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-07,13.10878,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-08,7.43888,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-09,4.4347,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-10,6.095424,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-11,12.08478,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-12,8.389892,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-13,12.95428,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-14,8.04098,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-15,5.7200050000000005,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-16,11.4343,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-17,6.525215,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-18,4.865882,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-19,12.962112,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-20,10.16986,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-21,21.840220000000002,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-22,6.10318,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-23,9.7918,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-24,4.36148,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-25,9.87348,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-26,7.21338,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-27,10.52396,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-28,13.09515,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-29,2.90494,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-30,13.88963,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-03-31,6.838432,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-01,5.11384,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-02,5.077928,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-03,2.901178,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-04,3.691,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-05,5.44204,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-06,9.22465,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-07,4.36148,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-08,5.30105,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-09,8.286480000000001,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-10,8.658240000000001,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-11,3.80476,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-12,5.63788,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-13,7.97358,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-14,5.66585,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-15,3.8614800000000002,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-16,5.5183,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-17,7.13048,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-18,17.19001,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-19,5.72388,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-20,7.7973870000000005,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-21,4.7611,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-22,12.13894,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-23,5.686,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-24,7.930350000000001,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-25,5.1856599999999995,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-26,5.27166,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-27,16.5795,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-28,5.498762,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-29,4.177742,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-04-30,2.03348,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-01,3.97118,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-02,13.07656,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-03,10.810780000000001,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-04,8.38613,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-05,2.16253,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-06,3.66248,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-07,7.87188,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-08,5.79735,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-09,2.5536000000000003,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-10,7.77893,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-11,6.61148,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-12,2.4472,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-13,8.681897,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-14,7.800409999999999,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-15,7.60521,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-16,11.62388,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-17,2.5605200000000004,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-18,4.36148,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-19,11.50148,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-20,4.48183,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-21,2.6625300000000003,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-22,4.300362,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-23,7.56973,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-24,6.33893,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-25,6.86148,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-26,4.36148,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-27,2.3614800000000002,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-28,21.016180000000002,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-29,1.9614800000000001,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-30,9.79034,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-05-31,8.291879999999999,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-01,2.70723,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-02,10.87908,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-03,3.5759999999999996,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-04,12.14526,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-05,7.80041,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-06,6.13788,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-07,8.63788,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-08,10.178180000000001,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-09,4.66253,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-10,4.66253,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-11,5.29048,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-12,2.46358,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-13,8.76773,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-14,8.13788,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-15,3.0656049999999997,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-16,2.16253,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-17,4.36148,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-18,1.801,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-19,8.40708,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-20,7.68384,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-21,9.03788,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-22,2.16253,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-23,1.86148,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-24,3.66248,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-25,0.8694,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-26,2.621,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-27,6.03788,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-28,5.93893,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-29,0.9904,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-06-30,3.96353,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-07-01,2.744655,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-07-02,9.99936,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-07-03,2.62531,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-07-04,5.63788,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-07-05,11.27576,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-07-06,7.104767000000001,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-07-07,4.287839999999999,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-07-08,1.86148,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
2015-07-09,8.45682,HKQuantityTypeIdentifierDietaryFatPolyunsaturated,g
