date,value,type,unit
2015-02-25,51.2491,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-02-26,62.4114,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-02-27,68.791725,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-02-28,91.5454,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-01,74.2726,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-02,51.6323,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-03,75.0401,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-04,45.4534,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-05,66.6374,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-06,35.4114,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-07,62.380199999999995,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-08,84.8588,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-09,74.7123,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-10,40.877,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-11,82.12219999999999,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-12,53.530100000000004,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-13,109.92819999999999,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-14,91.6626,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-15,86.83805,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-16,113.27179999999998,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-17,53.79015,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-18,53.9376,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-19,49.9443,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-20,73.1648,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-21,109.15559999999999,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-22,43.861200000000004,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-23,34.2634,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-24,42.5594,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-25,67.3188,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-26,62.75158,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-27,115.26079999999999,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-28,68.1174,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-29,36.9484,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-30,120.4829,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-03-31,73.32249999999999,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-01,39.484899999999996,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-02,49.27759999999999,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-03,44.0665,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-04,55.647,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-05,17.963,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-06,87.3445,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-07,91.1344,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-08,86.6019,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-09,67.6675,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-10,84.40899999999999,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-11,52.438,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-12,75.2468,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-13,41.2732,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-14,79.8144,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-15,49.2594,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-16,82.613,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-17,71.3014,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-18,69.7342,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-19,66.9568,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-20,49.2713,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-21,20.3131,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-22,70.8084,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-23,37.44037,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-24,55.82521,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-25,65.44945,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-26,62.18635,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-27,79.2249,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-28,35.78515,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-29,52.59115,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-04-30,14.9394,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-01,72.42699999999999,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-02,60.0947,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-03,53.3236,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-04,54.203900000000004,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-05,67.1613,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-06,75.9014,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-07,68.57679999999999,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-08,82.396,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-09,52.98689,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-10,56.2937,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-11,47.9594,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-12,77.0852,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-13,64.73381,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-14,49.8781,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-15,65.71545,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-16,64.5068,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-17,45.9811,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-18,58.1294,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-19,85.07939999999999,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-20,13.67547,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-21,32.6613,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-22,105.3152,HKQuantityTypeIdentifierDietaryFatTotal,g
2015-05-23,42.141189999999995,HKQuantityTypeIdentifierDietaryFatTotal,g
