date,value,type,unit
2015-02-25,33.2437,HKQuantityTypeIdentifierDietaryFiber,g
2015-02-26,35.2331,HKQuantityTypeIdentifierDietaryFiber,g
2015-02-27,38.785,HKQuantityTypeIdentifierDietaryFiber,g
2015-02-28,21.1674,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-01,23.253500000000003,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-02,10.9089,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-03,24.4868,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-04,25.698,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-05,45.647,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-06,28.7331,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-07,19.1514,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-08,11.3704,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-09,11.058900000000001,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-10,39.2254,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-11,22.333399999999997,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-12,33.9309,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-13,32.7964,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-14,17.6914,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-15,30.1134,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-16,15.963,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-17,25.5473,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-18,27.2331,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-19,43.8031,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-20,38.4848,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-21,17.4184,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-22,30.3594,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-23,25.926,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-24,23.0884,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-25,25.976799999999997,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-26,19.7637,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-27,21.058799999999998,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-28,35.5974,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-29,22.5942,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-30,23.891399999999997,HKQuantityTypeIdentifierDietaryFiber,g
2015-03-31,24.27058,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-01,15.325,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-02,32.69115,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-03,26.5438,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-04,14.282,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-05,21.795,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-06,23.820999999999998,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-07,25.9384,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-08,31.320999999999998,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-09,15.2717,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-10,19.2514,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-11,46.2288,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-12,17.8384,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-13,37.5237,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-14,13.1767,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-15,23.6884,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-16,15.14828,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-17,12.0704,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-18,19.789299999999997,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-19,13.6884,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-20,32.4744,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-21,21.0978,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-22,23.5942,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-23,12.3334,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-24,17.56298,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-25,12.95935,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-26,13.026050000000001,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-27,17.7987,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-28,22.383499999999998,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-29,25.39665,HKQuantityTypeIdentifierDietaryFiber,g
2015-04-30,38.6884,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-01,16.8704,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-02,21.1368,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-03,37.035799999999995,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-04,18.67607,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-05,19.03114,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-06,10.8704,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-07,29.7768,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-08,18.235500000000002,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-09,19.5599,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-10,29.1094,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-11,18.6884,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-12,6.5,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-13,15.28349,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-14,22.1978,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-15,26.5168,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-16,19.0884,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-17,22.9681,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-18,10.1884,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-19,21.1884,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-20,17.15153,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-21,21.0094,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-22,25.0366,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-23,16.2564,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-24,18.7094,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-25,21.888399999999997,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-26,20.1884,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-27,13.1884,HKQuantityTypeIdentifierDietaryFiber,g
2015-05-28,27.396099999999997,HKQuantityTypeIdentifierDietaryFiber,g
