date,value,type,unit
2015-02-25,1089.13,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-02-26,1387.0500000000002,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-02-27,1001.2725,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-02-28,2040.8580000000002,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-01,667.927,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-02,199.7335,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-03,1183.996,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-04,800.974,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-05,2683.008,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-06,1667.05,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-07,1176.652,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-08,507.749,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-09,449.7335,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-10,2435.788,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-11,924.223,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-12,2748.316,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-13,1458.317,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-14,1481.039,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-15,562.928,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-16,920.4739999999999,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-17,1317.328,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-18,1415.43,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-19,3082.578,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-20,1219.641,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-21,1159.1979999999999,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-22,1938.9679999999998,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-23,832.948,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-24,951.798,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-25,1565.798,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-26,977.313,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-27,2023.3690000000001,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-28,1104.4650000000001,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-29,694.0889999999999,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-30,1268.951,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-03-31,1380.3137,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-04-01,1595.863,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-04-02,1637.6799999999998,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-04-03,1981.4299999999998,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-04-04,347.571,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-04-05,660.85,HKQuantityTypeIdentifierDietaryPotassium,mg
2015-04-06,2155.91,HKQuantityTypeIdentifierDietaryPotassium,mg
