date,value,type,unit
2015-02-25,1916.272,HKQuantityTypeIdentifierDietarySodium,mg
2015-02-26,4063.821,HKQuantityTypeIdentifierDietarySodium,mg
2015-02-27,3064.6125,HKQuantityTypeIdentifierDietarySodium,mg
2015-02-28,1929.465,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-01,3086.812,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-02,1604.0839,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-03,1226.024,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-04,2026.592,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-05,3349.0370000000003,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-06,2207.571,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-07,1239.164,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-08,2991.082,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-09,2372.2139,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-10,2334.049,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-11,2481.974,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-12,3013.955,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-13,2464.5640000000003,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-14,3111.732,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-15,4048.197,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-16,2114.534,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-17,2491.8450000000003,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-18,2161.9809999999998,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-19,2740.629,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-20,2877.226,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-21,1972.092,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-22,2885.972,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-23,1747.784,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-24,2898.6620000000003,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-25,970.662,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-26,2380.074,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-27,3438.672,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-28,2777.878,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-29,2280.036,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-30,2166.1890000000003,HKQuantityTypeIdentifierDietarySodium,mg
2015-03-31,2358.4179999999997,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-01,1484.975,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-02,3445.898,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-03,2750.8540000000003,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-04,2073.76,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-05,918.34,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-06,3480.2400000000002,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-07,2379.9120000000003,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-08,4180.65,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-09,1598.6570000000002,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-10,2230.4139999999998,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-11,6670.304,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-12,3201.202,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-13,1255.705,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-14,2584.752,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-15,2461.6620000000003,HKQuantityTypeIdentifierDietarySodium,mg
2015-04-16,3000.772,HKQuantityTypeIdentifierDietarySodium,mg
