date,value,type,unit
2013-01-23,3.48973,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-01-24,4.05836,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-01-25,5.45976,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-01-26,4.88242,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-01-27,3.99737,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-01-28,4.86362,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-01-29,3.04492,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-01-30,3.47047,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-01-31,3.68463,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-01,4.84344,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-02,5.44875,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-03,3.34758,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-04,5.38088,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-05,7.98099,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-06,6.63462,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-07,4.51006,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-08,6.68369,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-09,7.28121,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-10,5.49893,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-11,4.61278,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-12,3.81807,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-13,3.32144,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-14,3.64106,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-15,5.26899,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-16,2.89588,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-17,3.95748,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-18,4.05744,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-19,2.80279,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-20,4.66081,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-21,2.90322,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-22,3.00823,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-23,2.77436,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-24,3.80707,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
2013-02-25,3.924,HKQuantityTypeIdentifierDistanceWalkingRunning,mi
