date,value,type,unit
2013-01-24,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-01-25,6,HKQuantityTypeIdentifierFlightsClimbed,count
2013-01-27,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-01-28,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-01-29,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-01-30,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-01-31,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-01,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-02,9,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-03,6,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-04,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-05,11,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-06,6,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-07,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-08,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-09,8,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-10,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-11,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-12,5,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-13,5,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-14,10,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-15,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-16,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-17,9,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-19,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-20,11,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-21,10,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-22,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-23,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-24,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-26,7,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-27,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-02-28,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-01,18,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-02,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-03,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-04,6,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-05,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-06,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-07,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-08,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-09,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-10,5,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-11,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-12,6,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-14,6,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-15,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-16,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-17,5,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-18,5,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-19,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-20,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-21,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-22,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-23,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-24,10,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-25,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-28,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-29,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-03-30,14,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-01,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-02,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-03,9,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-04,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-05,6,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-06,6,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-07,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-09,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-10,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-11,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-12,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-13,5,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-14,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-15,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-16,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-17,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-18,7,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-19,50,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-20,6,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-21,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-22,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-23,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-24,9,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-25,9,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-26,12,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-27,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-28,17,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-29,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-04-30,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-01,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-03,5,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-04,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-05,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-06,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-07,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-09,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-10,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-11,5,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-12,7,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-13,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-14,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-15,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-16,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-18,14,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-19,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-20,6,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-21,7,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-22,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-23,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-25,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-26,8,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-27,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-28,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-30,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-05-31,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-01,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-03,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-04,5,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-05,13,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-06,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-07,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-08,5,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-09,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-10,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-11,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-13,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-14,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-15,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-17,1,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-18,2,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-20,9,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-21,4,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-22,3,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-23,9,HKQuantityTypeIdentifierFlightsClimbed,count
2013-06-24,3,HKQuantityTypeIdentifierFlightsClimbed,count
