date,value,type,unit
2016-02-12,137.1,HKQuantityTypeIdentifierLeanBodyMass,lb
2016-03-22,137.4,HKQuantityTypeIdentifierLeanBodyMass,lb
2016-04-22,140.2,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-02,130.2,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-03,129.9,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-04,129.6,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-05,129.8,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-06,130.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-07,129.6,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-09,130.2,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-12,131.2,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-13,130.6,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-14,130.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-15,130.8,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-19,131.4,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-21,131.66666666666666,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-22,131.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-23,131.6,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-28,131.2,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-30,131.6,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-08-31,132.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-01,132.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-02,131.8,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-03,131.4,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-04,132.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-05,132.2,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-08,132.2,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-09,132.39999999999998,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-10,131.8,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-11,132.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-12,132.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-14,131.6,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-15,132.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-16,131.8,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-17,132.4,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-18,132.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-19,132.4,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-20,131.8,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-21,132.6,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-22,132.2,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-24,132.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-25,131.8,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-26,131.8,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-28,131.4,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-29,132.10000000000002,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-09-30,131.4,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-02,131.66666666666666,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-03,131.4,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-04,131.6,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-09,131.8,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-10,131.4,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-11,131.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-12,131.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-13,131.89999999999998,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-15,131.4,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-16,131.2,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-17,132.2,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-18,131.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-19,131.0,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-20,130.8,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-22,130.8,HKQuantityTypeIdentifierLeanBodyMass,lb
2017-10-23,130.6,HKQuantityTypeIdentifierLeanBodyMass,lb
