date,value,type,unit
2020-10-29,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2020-11-19,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2020-11-26,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2020-12-03,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2020-12-10,491.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2020-12-17,462.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-02-03,484.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-02-18,498.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-03-12,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-04-07,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-04-14,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-04-28,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-09-09,465.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-09-13,450.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-10-17,456.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-10-26,497.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-11-05,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-11-12,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-11-20,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-11-27,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-12-04,495.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-12-11,488.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-12-19,495.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2021-12-26,490.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-01-02,490.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-01-09,467.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-01-16,467.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-01-23,450.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-01-30,444.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-02-07,450.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-02-14,472.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-02-22,485.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-03-01,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-03-08,495.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-03-15,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-03-22,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-03-29,485.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-04-06,485.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-04-13,485.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-04-20,419.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-04-27,438.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-05-04,469.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-05-11,484.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-05-18,481.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-05-26,481.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-06-02,470.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-06-09,497.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-06-16,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-06-23,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-06-30,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-07-08,499.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-07-15,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-07-22,500.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-07-30,484.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-08-20,479.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-08-28,482.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
2022-09-04,486.0,HKQuantityTypeIdentifierSixMinuteWalkTestDistance,m
