date,value,type,unit
2015-10-06,14179,HKQuantityTypeIdentifierStepCount,count
2015-10-07,9481,HKQuantityTypeIdentifierStepCount,count
2015-10-08,15902,HKQuantityTypeIdentifierStepCount,count
2015-10-09,10724,HKQuantityTypeIdentifierStepCount,count
2015-10-10,14161,HKQuantityTypeIdentifierStepCount,count
2015-10-11,20446,HKQuantityTypeIdentifierStepCount,count
2015-10-12,15027,HKQuantityTypeIdentifierStepCount,count
2015-10-13,14290,HKQuantityTypeIdentifierStepCount,count
2015-10-14,12535,HKQuantityTypeIdentifierStepCount,count
2015-10-15,15598,HKQuantityTypeIdentifierStepCount,count
2015-10-16,17103,HKQuantityTypeIdentifierStepCount,count
2015-10-17,10378,HKQuantityTypeIdentifierStepCount,count
2015-10-18,7003,HKQuantityTypeIdentifierStepCount,count
2015-10-19,8327,HKQuantityTypeIdentifierStepCount,count
2015-10-20,4115,HKQuantityTypeIdentifierStepCount,count
2015-10-21,4518,HKQuantityTypeIdentifierStepCount,count
2015-10-22,5242,HKQuantityTypeIdentifierStepCount,count
2015-10-23,6892,HKQuantityTypeIdentifierStepCount,count
2015-10-24,9954,HKQuantityTypeIdentifierStepCount,count
2015-10-25,7506,HKQuantityTypeIdentifierStepCount,count
2015-10-26,11446,HKQuantityTypeIdentifierStepCount,count
2015-10-27,17502,HKQuantityTypeIdentifierStepCount,count
2015-10-28,12991,HKQuantityTypeIdentifierStepCount,count
2015-10-29,15589,HKQuantityTypeIdentifierStepCount,count
2015-10-30,10869,HKQuantityTypeIdentifierStepCount,count
2015-10-31,6083,HKQuantityTypeIdentifierStepCount,count
2015-11-01,2259,HKQuantityTypeIdentifierStepCount,count
2015-11-02,12614,HKQuantityTypeIdentifierStepCount,count
2015-11-03,10835,HKQuantityTypeIdentifierStepCount,count
2015-11-04,13942,HKQuantityTypeIdentifierStepCount,count
2015-11-05,15528,HKQuantityTypeIdentifierStepCount,count
2015-11-06,12204,HKQuantityTypeIdentifierStepCount,count
2015-11-07,9976,HKQuantityTypeIdentifierStepCount,count
2015-11-08,8374,HKQuantityTypeIdentifierStepCount,count
2015-11-09,17886,HKQuantityTypeIdentifierStepCount,count
2015-11-10,15257,HKQuantityTypeIdentifierStepCount,count
2015-11-11,13300,HKQuantityTypeIdentifierStepCount,count
2015-11-12,15203,HKQuantityTypeIdentifierStepCount,count
2015-11-13,9819,HKQuantityTypeIdentifierStepCount,count
2015-11-14,14220,HKQuantityTypeIdentifierStepCount,count
2015-11-15,7001,HKQuantityTypeIdentifierStepCount,count
2015-11-16,9220,HKQuantityTypeIdentifierStepCount,count
2015-11-17,4061,HKQuantityTypeIdentifierStepCount,count
2015-11-18,19346,HKQuantityTypeIdentifierStepCount,count
2015-11-19,8717,HKQuantityTypeIdentifierStepCount,count
2015-11-20,8942,HKQuantityTypeIdentifierStepCount,count
2015-11-21,12221,HKQuantityTypeIdentifierStepCount,count
2015-11-22,7835,HKQuantityTypeIdentifierStepCount,count
2015-11-23,16359,HKQuantityTypeIdentifierStepCount,count
2015-11-24,14863,HKQuantityTypeIdentifierStepCount,count
2015-11-25,19408,HKQuantityTypeIdentifierStepCount,count
2015-11-26,7911,HKQuantityTypeIdentifierStepCount,count
2015-11-27,15026,HKQuantityTypeIdentifierStepCount,count
2015-11-28,3462,HKQuantityTypeIdentifierStepCount,count
2015-11-29,17274,HKQuantityTypeIdentifierStepCount,count
2015-11-30,16120,HKQuantityTypeIdentifierStepCount,count
2015-12-01,14727,HKQuantityTypeIdentifierStepCount,count
2015-12-02,17968,HKQuantityTypeIdentifierStepCount,count
2015-12-03,21131,HKQuantityTypeIdentifierStepCount,count
2015-12-04,19295,HKQuantityTypeIdentifierStepCount,count
2015-12-05,12116,HKQuantityTypeIdentifierStepCount,count
2015-12-06,15239,HKQuantityTypeIdentifierStepCount,count
2015-12-07,16105,HKQuantityTypeIdentifierStepCount,count
2015-12-08,18248,HKQuantityTypeIdentifierStepCount,count
2015-12-09,3721,HKQuantityTypeIdentifierStepCount,count
2015-12-10,5899,HKQuantityTypeIdentifierStepCount,count
2015-12-11,11951,HKQuantityTypeIdentifierStepCount,count
2015-12-12,12551,HKQuantityTypeIdentifierStepCount,count
2015-12-13,13886,HKQuantityTypeIdentifierStepCount,count
2015-12-14,14376,HKQuantityTypeIdentifierStepCount,count
2015-12-15,10658,HKQuantityTypeIdentifierStepCount,count
2015-12-16,11850,HKQuantityTypeIdentifierStepCount,count
2015-12-17,14644,HKQuantityTypeIdentifierStepCount,count
2015-12-18,10563,HKQuantityTypeIdentifierStepCount,count
2015-12-19,9470,HKQuantityTypeIdentifierStepCount,count
2015-12-20,13338,HKQuantityTypeIdentifierStepCount,count
2015-12-21,16124,HKQuantityTypeIdentifierStepCount,count
2015-12-22,6339,HKQuantityTypeIdentifierStepCount,count
2015-12-23,15964,HKQuantityTypeIdentifierStepCount,count
2015-12-24,11228,HKQuantityTypeIdentifierStepCount,count
2015-12-25,6198,HKQuantityTypeIdentifierStepCount,count
2015-12-26,9187,HKQuantityTypeIdentifierStepCount,count
2015-12-27,14417,HKQuantityTypeIdentifierStepCount,count
2015-12-28,16962,HKQuantityTypeIdentifierStepCount,count
2015-12-29,13981,HKQuantityTypeIdentifierStepCount,count
2015-12-30,9508,HKQuantityTypeIdentifierStepCount,count
2015-12-31,16410,HKQuantityTypeIdentifierStepCount,count
2016-01-01,8312,HKQuantityTypeIdentifierStepCount,count
2016-01-02,11236,HKQuantityTypeIdentifierStepCount,count
2016-01-03,16447,HKQuantityTypeIdentifierStepCount,count
2016-01-04,10189,HKQuantityTypeIdentifierStepCount,count
2016-01-05,10494,HKQuantityTypeIdentifierStepCount,count
2016-01-06,7427,HKQuantityTypeIdentifierStepCount,count
2016-01-07,4978,HKQuantityTypeIdentifierStepCount,count
2016-01-08,8083,HKQuantityTypeIdentifierStepCount,count
2016-01-09,14843,HKQuantityTypeIdentifierStepCount,count
2016-01-10,6787,HKQuantityTypeIdentifierStepCount,count
2016-01-11,15700,HKQuantityTypeIdentifierStepCount,count
2016-01-12,14555,HKQuantityTypeIdentifierStepCount,count
2016-01-13,15795,HKQuantityTypeIdentifierStepCount,count
2016-01-14,10605,HKQuantityTypeIdentifierStepCount,count
2016-01-15,10335,HKQuantityTypeIdentifierStepCount,count
2016-01-16,7289,HKQuantityTypeIdentifierStepCount,count
2016-01-17,11154,HKQuantityTypeIdentifierStepCount,count
2016-01-18,15367,HKQuantityTypeIdentifierStepCount,count
2016-01-19,17470,HKQuantityTypeIdentifierStepCount,count
2016-01-20,14496,HKQuantityTypeIdentifierStepCount,count
2016-01-21,13267,HKQuantityTypeIdentifierStepCount,count
2016-01-22,18560,HKQuantityTypeIdentifierStepCount,count
2016-01-23,7987,HKQuantityTypeIdentifierStepCount,count
2016-01-24,10983,HKQuantityTypeIdentifierStepCount,count
2016-01-25,15352,HKQuantityTypeIdentifierStepCount,count
2016-01-26,9329,HKQuantityTypeIdentifierStepCount,count
2016-01-27,3308,HKQuantityTypeIdentifierStepCount,count
2016-01-28,7055,HKQuantityTypeIdentifierStepCount,count
2016-01-29,16076,HKQuantityTypeIdentifierStepCount,count
