date,value,type,unit
2020-09-25,2.505806274509804,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-09-26,2.429027777777778,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-09-27,2.232741875,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-09-28,2.5014974999999997,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-09-29,2.402154912280702,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-09-30,2.736279032258065,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-01,2.4994658333333337,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-02,2.468459,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-03,2.337010263157895,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-04,2.035613076923077,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-05,2.3226844444444446,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-06,2.453172716049383,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-07,2.251680909090909,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-08,2.445143076923077,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-09,2.09130693877551,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-10,2.3074858974358974,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-11,2.315501707317073,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-12,2.46021537037037,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-13,2.606670142857143,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-14,2.442625243902439,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-15,2.4995959677419357,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-16,2.3537046,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-17,2.4826136206896554,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-18,2.60603,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-19,2.6277009375000002,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-20,2.4554537190082644,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-21,2.574734128440367,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-22,2.6014903960396043,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-23,2.671613409090909,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-24,2.644711666666667,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-25,2.574197435897436,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-26,2.5237545205479455,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-27,2.711092950819672,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-28,2.2767044444444444,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-29,2.3926935802469136,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-30,2.3400597000000003,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
2020-10-31,2.506827608695652,HKQuantityTypeIdentifierWalkingSpeed,mi/hr
