date,value,type,unit
2020-09-25,24.548411764705882,HKQuantityTypeIdentifierWalkingStepLength,in
2020-09-26,24.84066031746032,HKQuantityTypeIdentifierWalkingStepLength,in
2020-09-27,23.671229166666667,HKQuantityTypeIdentifierWalkingStepLength,in
2020-09-28,24.65929038461538,HKQuantityTypeIdentifierWalkingStepLength,in
2020-09-29,24.761698245614035,HKQuantityTypeIdentifierWalkingStepLength,in
2020-09-30,26.314467741935484,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-01,24.82501527777778,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-02,23.759825,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-03,23.870684210526317,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-04,21.926061538461536,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-05,24.059472222222222,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-06,24.79829135802469,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-07,23.756236363636365,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-08,25.318,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-09,23.413120408163266,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-10,23.278797435897438,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-11,24.08775975609756,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-12,24.489637037037035,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-13,25.506195714285713,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-14,24.97119512195122,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-15,24.968246774193545,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-16,24.535414,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-17,24.6063,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-18,25.268449999999998,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-19,24.815446875,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-20,24.99512644628099,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-21,25.82173302752294,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-22,25.680220792079208,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-23,25.778470454545456,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-24,26.5830375,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-25,25.691523076923076,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-26,26.45348630136986,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-27,26.429608196721315,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-28,24.91689111111111,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-29,24.040040740740743,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-30,23.732269000000002,HKQuantityTypeIdentifierWalkingStepLength,in
2020-10-31,24.70044565217391,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-01,24.494571621621624,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-02,25.007296296296296,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-03,24.877627027027028,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-04,25.121153846153845,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-05,25.342360869565216,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-06,26.082683333333335,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-07,23.835762857142857,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-08,24.16813870967742,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-09,25.694168421052634,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-10,24.876964583333333,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-11,24.849466666666665,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-12,26.81543333333333,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-13,23.61137837837838,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-14,24.690660714285713,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-15,23.457979166666664,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-16,24.05045882352941,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-17,24.80929375,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-18,24.881880000000002,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-19,25.1599390625,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-20,24.296940476190475,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-21,24.0852,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-22,23.8927,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-23,23.871873076923073,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-24,23.366645945945944,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-25,23.511508771929822,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-26,22.965844444444443,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-27,24.319086885245902,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-28,24.55878965517241,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-29,24.101332608695653,HKQuantityTypeIdentifierWalkingStepLength,in
2020-11-30,23.812393406593404,HKQuantityTypeIdentifierWalkingStepLength,in
2020-12-01,23.901192727272726,HKQuantityTypeIdentifierWalkingStepLength,in
2020-12-02,22.91748947368421,HKQuantityTypeIdentifierWalkingStepLength,in
2020-12-03,25.049967164179105,HKQuantityTypeIdentifierWalkingStepLength,in
2020-12-04,24.203209523809523,HKQuantityTypeIdentifierWalkingStepLength,in
2020-12-05,24.564716901408453,HKQuantityTypeIdentifierWalkingStepLength,in
